1,absorb,learn,0.55
2,absorb,withdraw,0.3
3,achieve,accomplish,0.86
4,achieve,try,0.44
6,acquire,get,0.88
8,acquire,find,0.64
12,apple,lemon,0.41
13,apple,sunshine,0.06
14,area,region,0.95
16,area,corner,0.21
17,arm,shoulder,0.49
24,arm,neck,0.16
25,ball,cannon,0.26
26,ball,basket,0.17
34,bed,crib,0.73
38,bed,chair,0.35
39,belief,opinion,0.77
42,belief,flower,0.04
43,bird,hawk,0.79
44,bird,turkey,0.66
51,bone,neck,0.25
52,bone,teeth,0.42
55,book,literature,0.75
62,book,theme,0.26
64,boy,brother,0.67
65,boy,soldier,0.22
67,cat,lion,0.68
69,cat,rabbit,0.24
73,clothes,fabric,0.59
74,clothes,button,0.23
77,create,make,0.87
80,create,destroy,0.06
83,cup,tableware,0.69
85,cup,object,0.37
90,drink,eat,0.69
91,drink,car,0.3
94,father,parent,0.71
96,father,brother,0.42
98,flower,violet,0.7
99,flower,bulb,0.45
100,flower,endurance,0.04
102,glass,metal,0.56
103,glass,magician,0.21
104,guy,stud,0.58
105,guy,partner,0.36
107,horse,mare,0.83
109,horse,ox,0.3
110,join,add,0.81
111,join,marry,0.54
112,join,acquire,0.29
113,king,princess,0.33
114,king,queen,0.86
115,king,rook,0.59
116,king,cabbage,0.02
117,lose,fail,0.73
118,lose,keep,0.11
123,man,victor,0.19
124,man,sentry,0.33
125,man,husband,0.53
127,man,woman,0.83
129,meat,bacon,0.58
131,meat,bread,0.17
132,media,radio,0.74
133,media,trading,0.39
137,money,diamond,0.34
138,money,cash,0.92
140,precedent,antecedent,0.6
141,precedent,information,0.39
145,situation,condition,0.66
146,situation,conclusion,0.48
147,situation,isolation,0.39
148,street,alley,0.55
149,street,car,0.24
151,street,avenue,0.89
155,take,obtain,0.71
157,take,carry,0.52
160,take,leave,0.25
161,tiger,feline,0.8
164,tiger,animal,0.7
165,tiger,organism,0.48
730,replaster,plaster,0.7
729,replaster,grass,0.2
172,happy,cheerful,0.96
173,happy,young,0.2
175,car,highway,0.34
177,car,cab,0.74
178,bad,immoral,0.76
179,bad,great,0.04
181,accept,deliver,0.16
182,accept,believe,0.68
4012,journey,long distance,0.4
4013,place,long distance,0.1
5001,student,war criminal,0.2
3002,jet,war criminal,0.5
7001,flood relief,canal restoration,0.75
7002,flood relief,horn,0.17
7003,paddle gearing,lock gate,0.71
7004,paddle gearing,reverse gates,0.03
722,antipositivism,positive,0.23
723,antipositivism,negativism,0.92
